Falla,Enlace,lat,lon
Falla Convento Jerusalén-Matemático Marzal,"https://www.google.com/maps/place/Falla+Convento+de+Jerusal%C3%A9n/@39.4664407,-0.3799124,19.75z/data=!4m6!3m5!1s0xd604f49f4196b57:0x88cde0f47f0ff886!8m2!3d39.4661794!4d-0.3797555!16s%2Fg%2F1hc9zhj5g?entry=tts",39.4664407,-0.3799124
Falla Cuba-Literato Azorín,"https://www.google.com/maps/place/Falla+Cuba+Literat+Azorin/@39.459464,-0.3764098,19.14z/data=!4m6!3m5!1s0xd604f34a262be23:0xa4155f135e4c0c2f!8m2!3d39.4593833!4d-0.3763989!16s%2Fg%2F11cmc2rbt5?entry=tts",39.459464,-0.3764098
Falla Sueca-Literato Azorín,"https://www.google.com/maps/place/Falla+Sueca+Literato+Azor%C3%ADn/@39.4601478,-0.3768653,16z/data=!3m1!4b1!4m6!3m5!1s0xd6048cb50cba409:0x9222e5b836a0936c!8m2!3d39.4601478!4d-0.3742904!16s%2Fg%2F11cmcvcqk3?entry=tts",39.4601478,-0.3768653
Falla Almirante Cadarso-Conde de Altea,"https://www.google.com/maps/place/Falla+Almirante+Cadarso+-+Conde+Altea/@39.4658222,-0.36848,21z/data=!4m6!3m5!1s0xd6049163ce0b61f:0x2b961f9d498d433f!8m2!3d39.4658439!4d-0.3683974!16s%2Fg%2F11tx1s26gq?entry=tts",39.4658222,-0.36848
Falla Na Jordana,"https://www.google.com/maps/place/Falla+Na+Jordana/@39.4802905,-0.3802253,20.33z/data=!4m6!3m5!1s0xd604f56ad61d72f:0xe64deea897a17eb2!8m2!3d39.4803512!4d-0.380205!16s%2Fg%2F1q5bmpdhs?entry=tts",39.4802905,-0.3802253
Falla Plaza del Pilar,"https://www.google.com/maps/place/Falla+Plaza+del+Pilar,+Ciutat+Vella,+46001+Valencia/@39.4713607,-0.3831377,21z/data=!4m6!3m5!1s0xd604f4f3fa32daf:0x6cea912425faa848!8m2!3d39.4713875!4d-0.3829575!16s%2Fg%2F11c3x0bjhb?entry=tts",39.4713607,-0.3831377
Falla Regne de Valencia-Duque de Calabria,"https://www.google.com/maps/place/A.C.+Falla+Regne+de+Val%C3%A9ncia-Duc+de+Cal%C3%A0bria/@39.4636877,-0.366951,20.33z/data=!4m6!3m5!1s0xd6048c846b6c971:0xdc3af66401b4a6c7!8m2!3d39.4636958!4d-0.3669366!16s%2Fg%2F1tj2pt2w?entry=tts",39.4636877,-0.366951
Falla Exposición-Misser Mascó,"https://www.google.com/maps/place/Falla+Exposici%C3%B3n+Misser+Masc%C3%B3/@39.4752901,-0.3618635,21z/data=!4m6!3m5!1s0xd6048baeb8470e3:0x12f544c91c4a1679!8m2!3d39.475299!4d-0.3619779!16s%2Fg%2F11cn7nz04z?entry=tts",39.4752901,-0.3618635
Falla Monestir de Poblet – Aparicio Albiñana (L’Antiga de Campanar),"https://www.google.com/maps/place/Falla+Monestir+de+Poblet+-+Aparicio+Albi%C3%B1ana+(L'Antiga)/@39.483891,-0.3971927,20.44z/data=!4m6!3m5!1s0xd604f8d7c74c465:0xb7f042f78b7fcad8!8m2!3d39.4838588!4d-0.3970102!16s%2Fg%2F11rtvsrstt?entry=tts",39.483891,-0.3971927
Falla Duc de Gaeta-Pobla de Farnals,"https://www.google.com/maps/place/Asociaci%C3%B3n+Cultural+Fallera+Duc+de+Gaeta-Pobla+de+Farnals/@39.4684686,-0.3507767,16z/data=!3m1!4b1!4m6!3m5!1s0xd604893b6c767db:0x2bb3c17de4cecffa!8m2!3d39.4684686!4d-0.3482018!16s%2Fg%2F1vhklwz4?entry=tts",39.4684686,-0.3507767
