ori,Estació del Nord,Falla Almirante Cadarso-Conde de Altea,Falla Arzobispo Olaechea-San Marcelino,Falla Conde de Salvatierra-Cirilo Amorós-Mercat de Colón,Falla Convento Jerusalén-Matemático Marzal,Falla Cuba-Literato Azorín,Falla Císcar-Burriana,Falla Duc de Gaeta-Pobla de Farnals,Falla Espartero-Ramón y Cajal,Falla Exposición-Misser Mascó,Falla Gayano Lluch,Falla Grabador Esteve-Cirilo Amorós,Falla Islas Canarias-Trafalgar-Samuel Ros,Falla Jerónima Galés-Litógrafo Pascual y Abad,Falla Justo Vilar-Mercado del Cabañal,Falla Llanterna-Na Rovella-Avda. de l’Oest,Falla Maestro Gozalbo-Conde de Altea,Falla Malvarrosa-Ponz-Cavite,Falla Monestir de Poblet – Aparicio Albiñana (L’Antiga de Campanar),Falla Na Jordana,Falla Plaza de la Merced,Falla Plaza del Mercado Central,Falla Plaza del Pilar,Falla Quart-Extramurs-Velázquez,Falla Quart-Palomar,Falla Regne de Valencia-Duque de Calabria,Falla Reina-Paz-San Vicente (Falla Tio Pep),Falla Ribera-Convento Santa Clara,Falla San Vicente-Periodista Azzati,Falla Santa Genoveva Torres-Arquitecte Tolsà (la Nova de Orriols),Falla Sueca-Literato Azorín
Estació del Nord,0.0,2221.8,4124.1,1390.6,574.9,3100.0,2457.8,4504.7,1249.7,3922.9,3979.5,2916.6,4293.8,2794.4,5574.7,946.4,1846.5,7683.7,3607.5,2126.3,985.4,1439.6,836.4,3081.4,1518.8,2272.8,942.0,359.1,642.1,4866.0,3176.9
Falla Almirante Cadarso-Conde de Altea,1085.7,0.0,5863.4,413.3,1632.2,1932.6,422.7,2507.1,2335.4,1925.3,5016.2,919.0,2296.3,3911.6,3577.1,2032.1,565.2,5686.1,4693.1,3211.9,2071.1,2525.3,1922.1,4167.0,2604.4,667.5,2027.6,1444.8,1727.7,4597.0,2009.5
Falla Arzobispo Olaechea-San Marcelino,4034.5,4625.3,0.0,4814.5,3560.3,3633.2,4861.4,6457.8,3786.9,7445.6,7322.9,5320.1,6333.2,1527.6,7699.6,4237.6,4250.1,9015.6,6136.8,6269.3,4276.6,4730.8,4127.6,4411.4,4810.0,4676.4,4392.3,3809.4,4092.4,8815.9,3710.1
Falla Conde de Salvatierra-Cirilo Amorós-Mercat de Colón,754.0,803.7,4878.1,0.0,1328.9,1918.8,1223.9,3086.6,2003.7,1997.8,4733.5,1127.2,2875.7,3548.4,4156.5,1700.4,819.0,6265.6,4361.5,2880.3,1739.4,2193.6,1590.4,3835.4,2272.8,1325.6,1696.0,1113.1,1396.1,4669.5,1995.6
Falla Convento Jerusalén-Matemático Marzal,895.0,2276.4,4178.7,2465.5,0.0,3154.6,2512.4,4559.3,1435.3,3977.5,4263.3,2971.2,4348.5,2849.1,5629.3,1230.1,1901.1,7738.3,3872.2,2410.0,1269.2,1723.4,1120.1,3346.1,1802.5,2327.5,1252.7,669.9,952.8,5149.7,3231.5
Falla Cuba-Literato Azorín,1328.2,1237.5,4573.9,1645.1,2459.0,0.0,1135.5,3686.7,2685.6,3703.3,6221.6,2150.8,3300.2,3299.4,4928.5,2274.6,1080.7,6673.7,5035.5,3454.5,2313.6,2767.8,2164.6,4491.9,2847.0,950.5,2270.2,1687.3,1970.3,6395.1,720.0
Falla Císcar-Burriana,1159.6,623.8,5937.4,487.3,1706.2,2006.6,0.0,2581.1,2409.3,1999.3,5090.2,993.0,2370.2,3985.6,3651.1,2106.0,639.1,5760.1,4767.1,3285.9,2145.1,2599.3,1996.0,4241.0,2678.4,741.5,2101.6,1518.7,1801.7,4671.0,2083.5
Falla Duc de Gaeta-Pobla de Farnals,3495.6,2689.3,6313.8,3007.9,4034.3,3316.7,2352.0,0.0,5359.2,1819.8,5640.2,3072.7,925.4,6149.1,1744.9,4442.0,3159.8,4051.1,5954.5,4821.9,4481.0,4935.2,4332.0,7165.5,5014.4,2167.0,4437.6,3854.7,4137.7,5356.0,3393.6
Falla Espartero-Ramón y Cajal,1225.8,1965.7,3868.1,2154.8,751.6,2843.9,2201.8,4248.7,0.0,3666.8,3506.0,2660.5,4037.8,2538.4,5318.6,585.9,1590.5,7427.6,3115.8,1765.8,624.9,1079.1,475.9,2589.7,1158.3,2016.8,1583.6,1000.7,1283.7,4505.5,2920.8
Falla Exposición-Misser Mascó,2711.1,2175.2,7643.6,2038.7,3257.6,3618.9,2182.9,1838.4,3960.8,0.0,3590.1,1845.7,2577.1,5537.0,2908.4,3657.5,2190.6,4749.4,3904.5,2771.8,3696.5,4150.7,3547.5,4594.0,3897.6,2469.1,3653.1,3070.2,3353.1,3001.8,3695.8
