ori,des,osrm_dist,route_geometry
Casa Luis,Falla Gayano Lluch,714.8,"[[-0.379272, 39.488647], [-0.379316, 39.488637], [-0.379946, 39.488499], [-0.380238, 39.488435], [-0.380408, 39.488904], [-0.380419, 39.488936], [-0.380439, 39.488993], [-0.380511, 39.488976], [-0.380846, 39.488902], [-0.381069, 39.48887], [-0.381131, 39.488868], [-0.381165, 39.488892], [-0.381194, 39.488922], [-0.381255, 39.489], [-0.381272, 39.489055], [-0.381317, 39.489104], [-0.381352, 39.489126], [-0.381393, 39.48914], [-0.38146, 39.489145], [-0.381534, 39.489138], [-0.381633, 39.489125], [-0.381701, 39.489125], [-0.381768, 39.489133], [-0.381826, 39.489167], [-0.381832, 39.489177], [-0.381856, 39.489218], [-0.381874, 39.48966], [-0.381891, 39.489913], [-0.381898, 39.489947], [-0.381913, 39.490031], [-0.381856, 39.490066], [-0.381817, 39.490113], [-0.381799, 39.490168], [-0.381805, 39.490224], [-0.381834, 39.490275], [-0.381893, 39.49031], [-0.381953, 39.490344], [-0.382028, 39.490387], [-0.382102, 39.490428], [-0.382135, 39.490473], [-0.382149, 39.490501], [-0.382409, 39.491204], [-0.382421, 39.491235], [-0.382467, 39.49136], [-0.382505, 39.491461], [-0.382518, 39.491498], [-0.382768, 39.492161], [-0.382779, 39.492189], [-0.38284, 39.492352], [-0.382865, 39.492423], [-0.382878, 39.49246], [-0.382982, 39.492747]]"
Falla Gayano Lluch,Falla Monestir de Poblet – Aparicio Albiñana (L’Antiga de Campanar),2031.6,"[[-0.382982, 39.492747], [-0.383104, 39.493083], [-0.383118, 39.49312], [-0.383159, 39.493235], [-0.383227, 39.49322], [-0.383295, 39.493205], [-0.383271, 39.493137], [-0.383254, 39.49309], [-0.383023, 39.492463], [-0.383012, 39.492433], [-0.382961, 39.492295], [-0.382931, 39.492214], [-0.382914, 39.492165], [-0.382671, 39.491498], [-0.38266, 39.491469], [-0.382608, 39.491326], [-0.382575, 39.491242], [-0.382563, 39.491207], [-0.382535, 39.491134], [-0.382444, 39.490892], [-0.3823, 39.490511], [-0.382291, 39.490471], [-0.382286, 39.490437], [-0.382286, 39.490406], [-0.38229, 39.490358], [-0.3823, 39.490322], [-0.382299, 39.490269], [-0.382356, 39.490258], [-0.382374, 39.490253], [-0.382415, 39.490244], [-0.382853, 39.490151], [-0.383502, 39.490034], [-0.38368, 39.489996], [-0.383914, 39.489953], [-0.385076, 39.489696], [-0.38531, 39.489646], [-0.385642, 39.489571], [-0.385754, 39.489538], [-0.385967, 39.489475], [-0.386, 39.489465], [-0.386047, 39.489454], [-0.386134, 39.489435], [-0.38624, 39.489408], [-0.386271, 39.4894], [-0.386308, 39.489391], [-0.386402, 39.489368], [-0.38661, 39.489319], [-0.38663, 39.489314], [-0.387444, 39.489131], [-0.388019, 39.489005], [-0.38846, 39.488908], [-0.389282, 39.488711], [-0.389432, 39.488674], [-0.389478, 39.488662], [-0.389563, 39.488641], [-0.389901, 39.48854], [-0.390046, 39.488489], [-0.390366, 39.488375], [-0.390462, 39.488345], [-0.390611, 39.488298], [-0.390747, 39.488256], [-0.390785, 39.48824], [-0.390951, 39.488167], [-0.391807, 39.487796], [-0.392126, 39.487655], [-0.3924, 39.48753], [-0.393349, 39.487106], [-0.393652, 39.486949], [-0.395118, 39.48631], [-0.39558, 39.486129], [-0.395621, 39.486113], [-0.395666, 39.486096], [-0.395863, 39.486013], [-0.396302, 39.485832], [-0.396477, 39.485748], [-0.396681, 39.48565], [-0.396719, 39.485632], [-0.396836, 39.485576], [-0.397427, 39.485322], [-0.397499, 39.485211], [-0.397935, 39.485026], [-0.39796, 39.485009], [-0.397971, 39.484988], [-0.397966, 39.484969], [-0.397952, 39.484942], [-0.397881, 39.484898], [-0.39782, 39.484858], [-0.397773, 39.484817], [-0.397733, 39.484778], [-0.397679, 39.48471], [-0.397546, 39.48458], [-0.397159, 39.484027], [-0.397093, 39.483933]]"
Falla Monestir de Poblet – Aparicio Albiñana (L’Antiga de Campanar),Falla Quart-Extramurs-Velázquez,2237.1,"[[-0.397088, 39.483926], [-0.396998, 39.483797], [-0.396919, 39.483681], [-0.396855, 39.483599], [-0.3967, 39.483407], [-0.396566, 39.483211], [-0.396462, 39.483076], [-0.39626, 39.482771], [-0.396237, 39.482735], [-0.396185, 39.482681], [-0.396079, 39.482546], [-0.396061, 39.482517], [-0.39604, 39.482484], [-0.395985, 39.482395], [-0.395951, 39.482335], [-0.39591, 39.482243], [-0.395884, 39.482177], [-0.395872, 39.482146], [-0.395618, 39.481487], [-0.39556, 39.481355], [-0.395494, 39.481228], [-0.39547, 39.48118], [-0.395454, 39.48115], [-0.395022, 39.480542], [-0.394991, 39.480499], [-0.395723, 39.480183], [-0.396364, 39.479905], [-0.396553, 39.479823], [-0.39677, 39.479728], [-0.396858, 39.479691], [-0.398426, 39.479026], [-0.398537, 39.478979], [-0.398698, 39.478907], [-0.398796, 39.478862], [-0.398819, 39.478851], [-0.399342, 39.47863], [-0.399409, 39.478602], [-0.399492, 39.47857], [-0.399894, 39.478453], [-0.399961, 39.478445], [-0.400036, 39.478442], [-0.400285, 39.478449], [-0.400743, 39.478463], [-0.400891, 39.478469], [-0.401071, 39.478477], [-0.401432, 39.478492], [-0.402218, 39.47852], [-0.402344, 39.478525], [-0.402533, 39.47853], [-0.402574, 39.478532], [-0.403198, 39.478556], [-0.403343, 39.478563], [-0.403543, 39.478573], [-0.404444, 39.478607], [-0.404561, 39.478609], [-0.404637, 39.478605], [-0.404724, 39.478596], [-0.404887, 39.478567], [-0.40583, 39.478385], [-0.405943, 39.478376], [-0.406033, 39.478373], [-0.406382, 39.478383], [-0.406417, 39.478384], [-0.406526, 39.478387], [-0.406643, 39.478376], [-0.406761, 39.478363], [-0.40682, 39.478351], [-0.406863, 39.478338], [-0.406896, 39.47832], [-0.406927, 39.478294], [-0.406887, 39.478099], [-0.406851, 39.477931], [-0.40672, 39.477321], [-0.406506, 39.476306], [-0.406192, 39.474819], [-0.406184, 39.474789], [-0.406177, 39.474766], [-0.406094, 39.474499], [-0.406084, 39.474444], [-0.405814, 39.473171], [-0.405808, 39.473152], [-0.405785, 39.473096], [-0.405942, 39.473081], [-0.406317, 39.473031], [-0.406728, 39.472976], [-0.406947, 39.472941], [-0.407345, 39.472864]]"
Falla Quart-Extramurs-Velázquez,Falla Na Jordana,2757.2,"[[-0.407345, 39.472864], [-0.407455, 39.472843], [-0.407643, 39.472813], [-0.407772, 39.472781], [-0.407618, 39.472767], [-0.40748, 39.47276], [-0.407262, 39.472745], [-0.407113, 39.472731], [-0.406966, 39.472706], [-0.406872, 39.472686], [-0.406742, 39.47266], [-0.406478, 39.472623], [-0.405975, 39.472544], [-0.405732, 39.472634], [-0.405641, 39.47273], [-0.405446, 39.472958], [-0.405373, 39.473023], [-0.40534, 39.473054], [-0.405202, 39.473118], [-0.405027, 39.473174], [-0.404894, 39.473201], [-0.40473, 39.47323], [-0.404343, 39.473275], [-0.403554, 39.473429], [-0.401966, 39.47374], [-0.401833, 39.473766], [-0.399545, 39.474222], [-0.399235, 39.474283], [-0.399192, 39.474291], [-0.399058, 39.474318], [-0.398712, 39.474377], [-0.398647, 39.474412], [-0.398223, 39.474491], [-0.397235, 39.474674], [-0.396676, 39.474788], [-0.395549, 39.475254], [-0.394856, 39.475564], [-0.39332, 39.476251], [-0.393164, 39.476319], [-0.391934, 39.47686], [-0.391781, 39.476928], [-0.391452, 39.477067], [-0.390943, 39.477243], [-0.390345, 39.477408], [-0.389683, 39.477592], [-0.388774, 39.477865], [-0.388612, 39.477912], [-0.38849, 39.477944], [-0.388335, 39.477976], [-0.388202, 39.478001], [-0.388071, 39.478029], [-0.38792, 39.478074], [-0.387795, 39.478119], [-0.387504, 39.478235], [-0.386785, 39.478554], [-0.386738, 39.478574], [-0.385485, 39.479139], [-0.384968, 39.479357], [-0.384614, 39.479514], [-0.384356, 39.479633], [-0.383962, 39.479822], [-0.383803, 39.479904], [-0.383706, 39.479955], [-0.383378, 39.480118], [-0.383313, 39.480134], [-0.383234, 39.480136], [-0.383189, 39.480131], [-0.383153, 39.480124], [-0.383106, 39.480118], [-0.383067, 39.480126], [-0.383037, 39.480151], [-0.382996, 39.480275], [-0.382942, 39.48039], [-0.382916, 39.480432], [-0.382794, 39.480499], [-0.38268, 39.480562], [-0.382617, 39.480593], [-0.382556, 39.48062], [-0.380941, 39.481172], [-0.380865, 39.481193], [-0.380811, 39.481206], [-0.380749, 39.481215], [-0.380673, 39.481222], [-0.380574, 39.481226], [-0.380458, 39.481224], [-0.380403, 39.481219], [-0.380162, 39.481177], [-0.380155, 39.481108], [-0.380151, 39.481064], [-0.380115, 39.480799], [-0.38001, 39.480319]]"
Falla Na Jordana,Falla Reina-Paz-San Vicente (Falla Tio Pep),1193.6,"[[-0.38001, 39.480319], [-0.379891, 39.479779], [-0.37986, 39.479624], [-0.379852, 39.479604], [-0.379841, 39.479583], [-0.379833, 39.479566], [-0.37982, 39.479553], [-0.379738, 39.479492], [-0.379667, 39.479441], [-0.379642, 39.479424], [-0.379634, 39.479413], [-0.379631, 39.479401], [-0.379634, 39.479391], [-0.37964, 39.479376], [-0.379722, 39.479153], [-0.379832, 39.478927], [-0.379908, 39.478728], [-0.379922, 39.478676], [-0.37993, 39.47865], [-0.379952, 39.478564], [-0.379988, 39.478281], [-0.380002, 39.478191], [-0.380006, 39.478164], [-0.379978, 39.477706], [-0.379992, 39.477649], [-0.379977, 39.477628], [-0.379976, 39.477625], [-0.379968, 39.477604], [-0.379956, 39.477494], [-0.379931, 39.477189], [-0.379887, 39.476894], [-0.379869, 39.476697], [-0.379989, 39.476428], [-0.380004, 39.476393], [-0.379796, 39.47643], [-0.379741, 39.476221], [-0.379698, 39.476076], [-0.379694, 39.476063], [-0.37969, 39.476054], [-0.379685, 39.476049], [-0.379673, 39.476042], [-0.379655, 39.476037], [-0.379585, 39.476027], [-0.379564, 39.476015], [-0.379551, 39.476], [-0.379542, 39.47597], [-0.379532, 39.47595], [-0.379472, 39.475876], [-0.379448, 39.475853], [-0.379424, 39.475842], [-0.379394, 39.47584], [-0.379327, 39.475836], [-0.379308, 39.475826], [-0.379298, 39.475808], [-0.379294, 39.475788], [-0.379297, 39.47569], [-0.379287, 39.475658], [-0.379259, 39.47564], [-0.379229, 39.475634], [-0.379143, 39.475633], [-0.379122, 39.475631], [-0.379038, 39.475297], [-0.379032, 39.475281], [-0.379044, 39.475256], [-0.379081, 39.475243], [-0.379195, 39.47524], [-0.379219, 39.475228], [-0.379239, 39.475206], [-0.379395, 39.474983], [-0.379419, 39.474942], [-0.379386, 39.47492], [-0.379158, 39.474769], [-0.379156, 39.474767], [-0.379017, 39.474658], [-0.379024, 39.474651], [-0.378989, 39.474626], [-0.37895, 39.474598], [-0.378925, 39.474566], [-0.378922, 39.474568], [-0.378854, 39.474516], [-0.378817, 39.474499], [-0.378798, 39.474471], [-0.378798, 39.474469], [-0.378651, 39.474343], [-0.378579, 39.474277], [-0.378528, 39.47423], [-0.378528, 39.474227], [-0.3785, 39.474202], [-0.378472, 39.474177], [-0.378469, 39.474176], [-0.378406, 39.47412], [-0.378387, 39.474101], [-0.378361, 39.474075], [-0.378327, 39.47404], [-0.37828, 39.473993], [-0.378243, 39.473953], [-0.378209, 39.473934], [-0.378188, 39.473916], [-0.378106, 39.473836], [-0.378069, 39.473804], [-0.378037, 39.473774], [-0.378009, 39.473747], [-0.377888, 39.47363], [-0.377853, 39.473597], [-0.377785, 39.473531], [-0.377771, 39.473518], [-0.377744, 39.473497], [-0.377696, 39.47345], [-0.377575, 39.473334], [-0.377553, 39.473314], [-0.37754, 39.473302], [-0.377437, 39.473229], [-0.377335, 39.473162], [-0.377365, 39.473126], [-0.377417, 39.473076], [-0.377432, 39.473057], [-0.377468, 39.473039], [-0.377467, 39.473007], [-0.377418, 39.47293], [-0.377388, 39.472864], [-0.377382, 39.472796], [-0.377347, 39.472747], [-0.377378, 39.472752], [-0.377908, 39.472834], [-0.378106, 39.472862], [-0.378392, 39.472892], [-0.378539, 39.472906], [-0.378543, 39.472889], [-0.378663, 39.472491], [-0.378755, 39.472215], [-0.378759, 39.472202]]"
Falla Reina-Paz-San Vicente (Falla Tio Pep),Falla Plaza del Mercado Central,540.7,"[[-0.378759, 39.472202], [-0.378787, 39.472165], [-0.379052, 39.472229], [-0.379617, 39.472377], [-0.379749, 39.472397], [-0.379751, 39.472448], [-0.379752, 39.472493], [-0.379762, 39.47271], [-0.379764, 39.472843], [-0.379767, 39.472919], [-0.379783, 39.473047], [-0.379785, 39.473072], [-0.379786, 39.473101], [-0.379798, 39.473345], [-0.379785, 39.473411], [-0.379767, 39.473457], [-0.37967, 39.473658], [-0.37962, 39.47376], [-0.379586, 39.473834], [-0.379571, 39.473901], [-0.37957, 39.47401], [-0.379597, 39.474163], [-0.3796, 39.474186], [-0.379613, 39.474246], [-0.379658, 39.474444], [-0.379993, 39.474426], [-0.380163, 39.474423], [-0.380535, 39.474424], [-0.381263, 39.474462], [-0.381291, 39.474466], [-0.381294, 39.474422], [-0.381249, 39.474184], [-0.38124, 39.474147], [-0.381237, 39.474115], [-0.381235, 39.473797], [-0.381235, 39.473774]]"
Falla Plaza del Mercado Central,Falla Quart-Palomar,704.2,"[[-0.381235, 39.473774], [-0.381272, 39.473774], [-0.381728, 39.473776], [-0.38193, 39.473776], [-0.382489, 39.473845], [-0.383033, 39.473927], [-0.383076, 39.473934], [-0.383104, 39.473938], [-0.383545, 39.474001], [-0.383586, 39.474007], [-0.383815, 39.474032], [-0.383829, 39.474033], [-0.383939, 39.474046], [-0.383946, 39.474107], [-0.384012, 39.474625], [-0.384018, 39.474679], [-0.384025, 39.474754], [-0.384086, 39.475196], [-0.384102, 39.475338], [-0.384156, 39.47571], [-0.384244, 39.475705], [-0.384332, 39.475697], [-0.384778, 39.475624], [-0.385277, 39.475546], [-0.385436, 39.47552], [-0.385882, 39.475448], [-0.386366, 39.47537], [-0.386712, 39.475314], [-0.386776, 39.475304], [-0.38694, 39.475275], [-0.387004, 39.47527], [-0.387091, 39.475276], [-0.387144, 39.475274], [-0.387383, 39.475231]]"
Falla Quart-Palomar,Falla Espartero-Ramón y Cajal,1148.9,"[[-0.387383, 39.475231], [-0.387917, 39.475135], [-0.387953, 39.475127], [-0.388066, 39.4751], [-0.388103, 39.47509], [-0.388198, 39.47507], [-0.388377, 39.475032], [-0.388422, 39.475023], [-0.388571, 39.474995], [-0.388409, 39.474772], [-0.388239, 39.474508], [-0.388049, 39.474273], [-0.387925, 39.474104], [-0.387851, 39.474], [-0.387483, 39.473486], [-0.386769, 39.472499], [-0.386602, 39.472267], [-0.386445, 39.472045], [-0.386356, 39.471918], [-0.38632, 39.471867], [-0.38621, 39.471723], [-0.3861, 39.471564], [-0.385503, 39.470696], [-0.385354, 39.470506], [-0.385273, 39.470389], [-0.385343, 39.470365], [-0.385369, 39.470351], [-0.385395, 39.470338], [-0.385451, 39.470302], [-0.385497, 39.470274], [-0.385568, 39.470244], [-0.385747, 39.470202], [-0.386177, 39.47011], [-0.38682, 39.469981], [-0.386847, 39.469967], [-0.38686, 39.469953], [-0.386869, 39.469927], [-0.386872, 39.469905], [-0.386865, 39.46987], [-0.386847, 39.469838], [-0.386291, 39.469062], [-0.386243, 39.468993], [-0.386231, 39.468974], [-0.386152, 39.468862], [-0.385506, 39.467941], [-0.385365, 39.46794], [-0.385241, 39.467934], [-0.385021, 39.468205]]"
Falla Espartero-Ramón y Cajal,Falla Plaza del Pilar,475.9,"[[-0.385021, 39.468205], [-0.384525, 39.468815], [-0.384393, 39.468973], [-0.384314, 39.469067], [-0.384179, 39.469242], [-0.384112, 39.469329], [-0.384084, 39.469372], [-0.384056, 39.469419], [-0.383935, 39.469601], [-0.383802, 39.4698], [-0.383541, 39.470233], [-0.383536, 39.470244], [-0.383517, 39.470285], [-0.383482, 39.470368], [-0.383563, 39.470564], [-0.383583, 39.4706], [-0.383605, 39.47064], [-0.383924, 39.471568], [-0.383843, 39.47158], [-0.383211, 39.471669]]"
Falla Plaza del Pilar,Falla San Vicente-Periodista Azzati,712.7,"[[-0.383211, 39.471669], [-0.38311, 39.471683], [-0.383065, 39.47169], [-0.382973, 39.471705], [-0.382666, 39.471752], [-0.382202, 39.471811], [-0.382171, 39.471814], [-0.382126, 39.471825], [-0.381638, 39.471899], [-0.381414, 39.47195], [-0.381339, 39.472026], [-0.381033, 39.472402], [-0.380986, 39.472461], [-0.380811, 39.472682], [-0.380771, 39.472731], [-0.380312, 39.472743], [-0.380221, 39.47275], [-0.379958, 39.472775], [-0.379916, 39.472777], [-0.37988, 39.472774], [-0.379842, 39.472762], [-0.379762, 39.47271], [-0.379752, 39.472493], [-0.379751, 39.472448], [-0.379749, 39.472397], [-0.379732, 39.472026], [-0.37973, 39.471963], [-0.379728, 39.471909], [-0.379711, 39.471371], [-0.379709, 39.471324], [-0.379707, 39.471242], [-0.379705, 39.471216], [-0.379691, 39.470971], [-0.379686, 39.470883], [-0.379684, 39.470846], [-0.37968, 39.470746], [-0.379698, 39.470692], [-0.379719, 39.470664], [-0.379776, 39.4706], [-0.379873, 39.470483], [-0.380016, 39.470286], [-0.380216, 39.470009], [-0.380251, 39.46996], [-0.380295, 39.469899], [-0.380499, 39.469614]]"
